Reference,Value,Datasheet,Package,Qty
"C1,C4,C6,C8",1uF,~,Box Style Film Capacitor,4
"C2,C11,C12,C13,C14,C15,C16,C17,C18,C19,C21,C22",0.1uF,~,Ceramic Disc Capacitor,12
"C3,C5,C7,C9",2.2nF,~,Box Style Film Capacitor,4
"C10,C20",47uF,~,Electrolytic Capacitor,2
"D1,D2,D3,D4",1N4148,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,4
"D5,D6",1N5819,http://www.vishay.com/docs/88525/1n5817.pdf,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,2
E1,Link Cable,~,Pins_2x05_2.54mm_TH_EurorackPower_Shrouded,1
E2,Conn_02x05_Pin,~,Pins_2x05_2.54mm_TH_EurorackPower_Shrouded,1
J1,Conn_01x07_Pin,~,Connector_Molex:Molex_KK-254_AE-6410-07A_1x07_P2.54mm_Vertical,1
J2,CV,~,Jack_6.35mm,1
"J3,J5",01x06_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,2
J4,FM,~,Jack_6.35mm,1
J6,Saw Out,~,Jack_6.35mm,1
"Q1,Q3,Q5,Q7",BC558,https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf,Package_TO_SOT_THT:TO-92_Inline,4
"Q2,Q4,Q6,Q8",BC548,https://www.onsemi.com/pub/Collateral/BC550-D.pdf,Package_TO_SOT_THT:TO-92_Inline,4
"R1,R2,R3,R4,R5,R7,R10,R11,R13,R15,R16,R17,R18,R19,R25,R27,R33,R34,R36,R37,R38,R39,R40,R41,R47,R48,R49,R50,R56",100K,~,Metal Film 1/4 Resistor,29
"R6,R26,R42,R51",47K,~,Metal Film 1/4 Resistor,4
"R8,R28,R35,R43,R52",1M,~,Metal Film 1/4 Resistor,5
R9,6.8K,~,Metal Film 1/4 Resistor,1
"R12,R30,R44,R54",560K,~,Metal Film 1/4 Resistor,4
"R14,R31,R46,R55",4.7K,~,Metal Film 1/4 Resistor,4
"R20,R21,R22,R23,R24",10K M,~,Metal Film 1/4 Resistor,5
"R29,R32",10K,~,Metal Film 1/4 Resistor,2
R45,1K,~,Metal Film 1/4 Resistor,1
"R53,R57",10,~,Metal Film 1/4 Resistor,2
RV1,100K,~,Potentiometer_Vertical preset pot,1
RV2,1M,~,Potentiometer_Vertical preset pot,1
"RV3,RV4,RV5,RV6",1K,~,Potentiometer_Vertical preset pot,4
"SW1,SW2,SW3,SW4",SW_SPDT,~,SPDT switch,4
"TH1,TH2,TH3,TH4,TH5,TH6,TH7,TH8",Therm 10K,~,NTC Thermistor ,8
"U1,U3,U5,U6",TL074,http://www.ti.com/lit/ds/symlink/tl071.pdf,DIP-14_W7.62mm,4
U2,LM4040CIZ-5,http://www.ti.com/lit/ds/symlink/lm4040-n.pdf,TO-92_Inline_Wide precision voltage regulator,1
U4,40106,https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf,Package_DIP:DIP-14_W7.62mm_LongPads,1
"VR1,VR2,VR3,VR4",B100K Fine,~,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4
